buyerName|buyerCountry|Evaluation|buyerFeedback|buyerProductFeedBack|buyerTranslationFeedback|downVoteCount|upVoteCount|evalData|evaluationId|responsiveness|warrantyService|functionality|status
L***a|BR|100|Foi uma ótima compra. Item de acordo com o descrito no anúncio. Estou satisfeito. Recomendo!||Was a great buy. Item according to the described in the ad. I'm satisfied. Recommend!|0|0|09 Apr 2024|60080995549271264||||1
Щ***ч|RU|100|Товар соответствует описанию. Визуально все в норме, хорошая цепь и крепкие ручки.||Item as described. Visually everything is normal, a good chain and strong handles.|0|0|23 Jan 2024|50109430005211774||||1
L***R|BR|100|Possui um bom matéria, corrente bem fina pensei que fosse mais grossa, só falta testar pra v se corta mesmo, o resto é satisfatório!||It has a good matter, very thin chain I thought it was thicker, it just needs to be tested for V if it really cuts, the rest is satisfactory!|2|0|16 Dec 2023|60077029346436454||||1
A***a|MX|100|no lo he probado pero parece lo suficientemente bueno para cortar leña en un apuro, recomendable||I haven't tried it but it seems good enough to cut wood in a hurry, recommended|0|0|01 Jan 2024|60078089203734379||||1
v***r|UA|100|Замовлення було швидко доставлено в Київ через містекспрес, якість досить не погана, продавця рекомендую!||Bulo Shvidko was delivered to Kiev through the Misstekspres, as if I didn't get it, I recommend selling!|0|0|06 Apr 2024|30070787000237584||||1
P***z|MX|100|funciona con ramas gruesas, aún no lo pruebo con troncos gruesos||Works with thick branches, I still don't try it with thick logs|0|2|09 Jan 2024|60078122599286092||||1
B***z|PL|100|Wydaje się, że będzie ok. Pakiet mały, poręczny. Przyszło szybko. Polecam.||It seems that it will be approx. Small package, handy. It came quickly. I recommend.|0|0|13 Feb 2024|30068383253122778||||1
D***h|UA|100|Интересная вещица, очень хорошо упакована. Тоньше чем цепь на бензопилу. По скидке за 1.7$  отлично.||Interesting thing, very well packed. Thinner than chain on chainsaw. $1.7 discount is excellent.|2|3|17 Nov 2023|60075646476278964||||1
a***a|BR|100|Irei testar. Parece ser de boa qualidade. Parabéns ao vendedor pela agilidade no envio do produto||I will test. Seems to be of good quality. Congratulations to the seller for the agility in the shipment of the product|0|0|29 Feb 2024|60079740774128615||||1
S***K|UA|100|отличная вещь, с чехлом, который можно цеплять на ремень. кинул в машину - может когда пригодится||It's great, with a case that can be attached to the belt. Threw it into the car-maybe when it comes in handy|0|0|18 Jan 2024|30066947800803554||||1
g***r|BE|100|il ne manque plus qu a essayer.  peut être pratique dans certain cas||All that's missing is trying. Can be convenient in certain cases|0|0|13 Jan 2024|30066715087226501||||1
H***R|FR|100|Pas mal j’aime la qualité de la scie, des dragones et de la housse||Not bad I like the quality of the sane, the dragones and the cover|0|0|05 Feb 2024|30067807822705985||||1
a***o|CL|100|se ve de muy buena calidad, ahora hay que probarlo, llego bien protegido||It looks very good quality, now you have to try it, it arrived well protected|0|0|23 Dec 2023|60077755821571242||||1
M***o|UA|100|Ручную мини пилу получил, в чехле, размеры маленькие, компактные, на вид качественно и наточено. Ещё не испытана.||I received a manual Mini saw, in a case, the dimensions are small, compact, in appearance high quality and sharpened. Not tested yet.|0|0|20 Mar 2024|30069868658773527||||1
I***r|IT|100|Tutto Ok, come da descrizione arrivati in 13 gg, ordine multiplo. Fotografia Unica.||All Ok, as per the description arrived in 13 days, multiple order. Unique Photography.|0|0|06 Nov 2023|30064750698025422||||1
k***e|KR|100|수동 체인톱인데.. 이걸 쓸일이 올까 싶지만 모르는거니까요. 그래도 실톱보다는 내구성이 좋아보여서 이녀석을 샀는데 잘산거 같습니다. 재난 대비 생존가방 한구석에 짱밖는 용도로 .ㅎㅎ||It's a manual chain saw. I want to use this, but I don't know. Still, it looks more durable than a thread saw, so I bought this guy, but I think he bought it well. For the use of survival in a corner of the room for disaster preparation.|0|0|04 Mar 2024|50116410549653285||||1
Г***-|RU|100|Выглядит очень добротно. В комплекте хорошая сумочка с фастексом и креплением на ремень. Спасибо продавцу за цену и быструю доставку||Looks very solid. Included a nice bag with a Fastex strap. Thanks to the seller for the price and fast delivery|0|1|16 Dec 2023|50100818110383996||||1
P***r|PT|100|ainda não fiz nenhum teste, mas tem ar de ser robusto e de cumprir a sua função||I haven't done any tests yet, but it has the air of being robust and fulfilling its function|0|0|06 Jan 2024|60078285974104123||||1
R***T|UK|100|Arrived ahead of schedule. we'll packaged. The pouched saw chain was lightly oiled and certainly looked like it could do the job intended. The strap handles were well sewn and stitched to take the strain. Untested but   have initial reservations until tried on a few logs. Running a 6mm width chain through one might need alot more effort than a wire saw  or pruning saw. Possibly good for animal carcasses. We shall see!||Arrived ahead of schedule. we'll packaged. The pouched saw chain was lightly oiled and certainly looked like it could do the job intended. The strap handles were well sewn and stitched to take the strain. Untested but   have initial reservations until tried on a few logs. Running a 6mm width chain through one might need alot more effort than a wire saw  or pruning saw. Possibly good for animal carcasses. We shall see!|0|0|08 Feb 2024|30068181916520715||||1
E***n|CO|100|No lo he probado, pero es bastante larga y bonita. Me gusta mucho que tenga su funda. El material es bastante resistente.||I haven't tried it, but it's pretty long and pretty. I really like that it has its cover. The material is quite resistant.|0|0|11 Nov 2023|60075070575721209||||1
J***n|ES|100|Llegó muy bien, parecen muy buena Sierra, con una funda protectora y de transporte; solo me falta probarla.||Arrived very well, they seem very good saw, with a protective and transport cover; I just need to try it.|1|0|29 Nov 2023|30065607982154024||||1
G***b|RO|100|looks as described, I'll test it later and I'll update it the quality is poor, if not then I'll just forget and be happy with the product||looks as described, I'll test it later and I'll update it the quality is poor, if not then I'll just forget and be happy with the product|0|0|03 Nov 2023|60074965801746779||||1
m***r|PL|100|Zgodnie z opisem. Zoabczymy jak wyjdzie w testach.||According to the description. We'll stay out when he tests.|0|0|10 Apr 2024|30071207293489998||||1
Y***o|KR|100|기대이상으로 가격대비 뛰어난 제품이라 생각됩니다.||I think it is an excellent product for the price beyond expectations.|0|0|03 Nov 2023|50092917267594264||||1
R***z|ES|80|"se ve de.vuena calidad y materiales.
material metal cadena resistente ****
buen peso ****
en conjunto me gusta ****
lo que veo un poco raro es.ke cada tres elavones de la.cadena solo uno. se ve que.corte solo.quedaria.probar"||"Looks from. vuena quality and materials.
Metal material resistant chain ****
Good weight ****
Together I like ****
What I see a little bit weird is. ke every three elavones d e la.ca just one. It is seen that. Cut alone. Would remain. Try"|0|0|10 Jan 2024|30066798328195138||||1
AliExpress Shopper|BR|80|e bem pequena mais bonita paguei o imposto duas vezes quando comprei e na alfândega outra vez||And very small prettier I paid the tax twice when I bought it and at the customs again|0|0|16 Apr 2024|60081243919024054||||1
T***r|UA|80|не звернув увагу, що зуби пили йдуть через 2 звичайний ланцюга, не впевнений, що буде нормально пилити.. чохол зручний.||Without mowing for the Ugha, they drank the teeth to blow through the 2nd sinkly lancyug, without singing, if you will see it normally. Chokhol is twisted.|2|4|06 Nov 2023|30064950714796233||||1
g***r|KR|80|파우치도 있고 이만한 가격에 퀄리티는 좋아보이는데 정말 톱대용을 할지는 모르겠습니다.  아직 미사용이라서…||There is a pouch, and the quality looks good at this price, but I don't know if I really want to top it. It's not used yet...|0|0|04 Nov 2023|50092463878547250||||1
P***e|FR|80|on verra dans le temps mais une belle impression de solidité||We will see in time but a beautiful impression of solidity|0|0|16 Mar 2024|30069924355975621||||1
P***a|PL|80|not tested yet but chain is sharp, handles are big enough to comfortably handle and put enough pressure||not tested yet but chain is sharp, handles are big enough to comfortably handle and put enough pressure|0|0|14 Mar 2024|30070188930052363||||1
스***김|KR|80|날은 생각보다 날카롭지 않지만 튼튼하고 좋은 품질이다. 체인에 약간의 기름이 묻어있다.||The blade is not as sharp as I thought, but it is sturdy and of good quality. The chain is smeared with a little oil.|0|0|29 Dec 2023|50103907307823488||||1
o***o|UA|100|класна річ, мені дуже подобається, рекомендую до купівлі в походи або на дачу!||CLASSA rich, I also want to be like it, I recommend going to the dacha before buying!|1|1|16 Dec 2023|30066096895908135||||1
o***o|UA|100|пилка чудова, піде і на дачу і в похід, рекомендую до купівлі!||Chudova file, pide and dacha and pohidh, I recommend it to buy!|1|1|16 Dec 2023|30066118793408135||||1
g***s|UA|100|Все чудово... Прекрасний варіант для виїзду на природу...||Everything is really... A beautiful variant for nature...|0|0|15 Apr 2024|30071493694254102||||1
AliExpress Shopper|UA|100|Нормальна якість , можна брати.||Yakiste is normal, you can be brothers.|0|0|08 Apr 2024|30071136086697827||||1
С***ч|RU|100|добротно сделано. чехол га ремень. заточку надо править.||Well done. Case ha belt. Sharpening must be ruled.|0|0|25 Feb 2024|50115138146656914||||1
A***o|FR|100|Визуально соответствует описанию, упаковано плохо, доставка 14 дней.||Visually as described, packed poorly, delivery 14 days.|0|0|04 Nov 2023|30064921984866616||||1
C***r|CZ|100|super, už se těším až vyzkouším||Super, už se těším až vyzkouším|0|0|10 Apr 2024|30070967086424695||||1
Х***ч|RU|100|отличный вещь то дальнейшем опишу||I will describe the great thing later|0|0|11 Jan 2024|50106312638313131||||1
m***z|ES|100|@aaaaaaaaaaaaaaghjjfddfvvbbbbbbnnnncxddssssszdcvvvvvvvvhgfffffffjsjsjjwkskjdkdjjdnwnsbbdbeshbwvsvvsvwvsvsvdvvdvdvsvvsvsvsvsvshvsvsvsvskfkekdjdjwjsbdbdbwjwjw sjsjdjdjdjdjejejjssjjsjsjdjdjdkfldlsjshshshshwehehe djsjshsjsjdjdjejdjsjsjshsjdjdjzjdbsbsbsbbsjskslgkbfd||@aaaaaaaaaaaaaaghjjfddfvvbbbbbbnnnncxddssssszdcvvvvvvvvhgfffffffjsjsjjwkskjdkdjjdnwnsbbdbeshbwvsvvsvwvsvsvdvvdvdvsvvsvsvsvsvshvsvsvsvskfkekdjdjwjsbdbdbwjwjw sjsjdjdjdjdjejejjssjjsjsjdjdjdkfldlsjshshshshwehehe djsjshsjsjdjdjejdjsjsjshsjdjdjzjdbsbsbsbbsjskslgkbfd|0|0|01 Mar 2024|30069200352437619||||1
AliExpress Shopper|BR|100|Corrente muito parecida com motoserra. vou testar.||Chain very similar to chainsaw. I'm gonna test.|0|1|17 Nov 2023|60075726242725076||||1
S***r|BG|100|High quality.||High quality.|0|0|30 Oct 2023|60074742692759528||||1
R***X|PL|100|extra towar będą testy||extra towar będą testy|0|0|22 Jan 2024|30067603368770467||||1
Y***g|KR|100|이거 뭔가를 자를 수 있을까... 나 진지하다...||Can I cut something on this... I'm serious...|0|0|19 Jan 2024|50107853488781987||||1
r***r|PL|100|"Super, kupiłem drugą na ""zapas"""||"Great, I bought another one for ""stock"""|0|0|27 Feb 2024|30069023250361317||||1
j***o|BR|100|muito bom, prático, recomendo 😊||Very good, practical, recommend😊|0|1|10 Nov 2023|60075302808203167||||1
B***s|NL|100|zoals afgebeeld, nog niet getest||As pictured, not yet tested|0|0|03 Mar 2024|30068989442489124||||1
L***o|IT|100|Arrivato nei tempi, ottimo, fatto bene.||Arrived on time, excellent, done well.|0|0|15 Nov 2023|30065167678744271||||1
