"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Food services and drinking places, e-commerce sales","21100232","355-0012","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110023201",1;2;3,"CURRENT - a cube available to the public and that is current","Annual","2016-01-01","2022-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","North American Industry Classification System (NAICS)",,""
"3","Sales",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"2","Food services and drinking places","[722]","1","","",,
"2","Full-service restaurants","[722511]","2","","",,
"2","Limited-service eating places","[722512]","3","","",,
"3","Total sales","","1","","",,
"3","E-commerce sales","","2","","",,
"3","E-commerce as a percentage of total sales","","3","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"4704","Annual Survey of Service Industries: Food Services and Drinking Places"

"Subject Code","Subject Name"
"21","Business and consumer services and culture"

"Note ID",Note
1,"Estimates for the most recent year are preliminary. Preliminary data are subject to revision. Due to rounding, components may not add to total. Scaling may also affect the calculation of ratios. "
2,"Data presented in this table are from the surveyed portion only. The survey portion excludes the smallest firms in terms of revenues earned. These firms account for a relatively small portion of total industry revenues and are not included in the estimates of this table."
3,"For more data on e-commerce please refer to table 21-10-0249-01."

"Correction ID","Correction Date","Correction Note"
