Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
N/A,"
            Skinny Scarf | Hand Bag, Neck Scarf (2 pieces) - Color Set #12 / Brand NEW
          ","
              C$13
            ","
              Approx. 1.5"" x 37.5""
            ","
          ✨️ An elegant long skinny scarf premium quality, multipurpose use.  Wrap around your handbag handles to protect your purse or use as a bow accent.

This scarf is long and narrow, and is very versatile.  You can use it as a hair accessory, neck scarf, bag charm, and more.  Small, but colorful, a twilly can easily work with any outfit.  A twilly scarf can also help extend the wear and tear of your handbag handles, they are ultra soft and adds a nice pop of color.

Satin

Shipping is next business day
Please let me know if you have any questions.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Orange, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/10/66e0f871ce663f11ae73b014/s_66e0f873f33f71a42af53d91.jpeg,835,400+,1 day,76,https://poshmark.ca/listing/Skinny-Scarf-Hand-Bag-Neck-Scarf-2-pieces-Color-Set-12-Brand-NEW-66e0f871ce663f11ae73b014
Vintage,"
            Silk Perry Ellis Scarf
          ","
              C$36
            ","
              US OS
            ","
          Bright bold patterns and colours.

An absolutely spectacular accessory. 

*Item from cat friendly home*
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, Gold, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/06/66db9f5425b2f27857b047c0/s_66db9f56d399ff7c47629b9b.jpg,2260,1700+,1 day,100+,https://poshmark.ca/listing/Silk-Perry-Ellis-Scarf-66db9f5425b2f27857b047c0
N/A,"
            Elegant Double-Sided Red Silk Scarf with Bamboo and Calligraphy Pattern Fringe
          ","
              C$22
            ","
              US OS
            ","
          Add a touch of sophistication to your wardrobe with this exquisite double-sided 100% silk scarf. Featuring a vibrant red background adorned with a delicate black brown bamboo and calligraphy pattern, this scarf is perfect for any occasion. The elegant fringe adds a unique flair, making it a versatile accessory that can be styled in various ways.

Details:

	•	Material: 100% Silk
	•	Color: Red with black brown bamboo and calligraphy pattern
	•	Design: Double-sided
	•	Dimensions: 11”x43”
	•	Features: Fringe detailing
	•	Condition: Pre-loved with a small stain and two tini holes from removing the tag (see photos)

Despite its minor imperfections, this luxurious and timeless double-sided silk scarf is perfect for any fashion-forward individual looking to add a unique piece to their collection. The intricate bamboo and calligraphy pattern, along with the rich red color, make it a standout accessory that will elevate any outfit.




Silk scarf, double-sided scarf, red scarf, bamboo pattern, calligraphy pattern, fringe scarf, fall, elegant accessory, silk fashion, versatile scarf, luxury scarf, pre-loved silk scarf
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Red, Black, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/17/669893cb47c130b7d05c2f66/s_669893f56ccbb6959c4b939c.jpg,212,25+,1 day,7,https://poshmark.ca/listing/Elegant-DoubleSided-Red-Silk-Scarf-with-Bamboo-and-Calligraphy-Pattern-Fringe-669893cb47c130b7d05c2f66
Swiss Legend,"
            Swiss Legend Commander Saphitek Watch White Rubber Band Gold Bezel Accessory
          ","
              C$120
            ","
              US OS
            ","
          Excellent timepiece with an elegant color combination of gold with a white band. Needs new battery otherwise in great condition with very minor wear. Bracelet has a small crack which is not noticeable when worn and could be fixed reflected in pricing.  Please see my other listings for more great finds.
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, White, Gold",https://di2ponv0v5otw.cloudfront.net/posts/2024/06/26/667c5d3714d7a6c458007db5/s_667c5d95dc327dab6f425b69.jpeg,483,50+,1 day,11,https://poshmark.ca/listing/Swiss-Legend-Commander-Saphitek-Watch-White-Rubber-Band-Gold-Bezel-Accessory-667c5d3714d7a6c458007db5
Brunello Cucinelli,"
            Brunello Cucinelli Green & Blue Plaid/reversible, Cotton Linen Pocket  Square
          ","
              C$84
            ","
              US OS
            ","
          An elegant and refined accessory, the new pocket square completes the style of the blazers and suits in the collection with a modern touch.

Our items are manufactured in the hamlet of Solomeo, in Italy, respecting human beings and labor dignity and in harmony with the land.

Hand wash only, do not bleach. Do not tumble dry, iron at low temperature.

Pocket square measures approx. 35 cm x 35 cm

100% COTTON

Note the pocket square in first photo is not the same.
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Green, Blue, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/06/25/667bb24000d028318131be29/s_66afe46c7412710016d38048.jpg,378,100+,2 days,32,https://poshmark.ca/listing/Brunello-Cucinelli-Green-Blue-Plaidreversible-Cotton-Linen-Pocket-Square-667bb24000d028318131be29
Hugo Boss,"
            HUGO BOSS  tie, striped, yellow and burgundy
          ","
              C$22
            ","
              US OS
            ","
          Elevate your professional attire with this elegant Hugo Boss striped tie. Crafted with precision, it boasts a harmonious blend of golden and burgundy stripes, accentuated by a subtle sheen. This tie is not just an accessory but a statement of sophistication and style.
        ","Seller Discount: 15% off 3+ Bundle, Price Dropped: 12%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Red, Gold, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/13/66e49ca4ef1ef72f28da451f/s_66e49ca6d399ff8d39cfa861.jpeg,434,200+,1 day,30,https://poshmark.ca/listing/HUGO-BOSS-tie-striped-yellow-and-burgundy-66e49ca4ef1ef72f28da451f
Pierre Cardin,"
            Vintage Pierre Cardin Silk Scarf Wrap Red White Cream Geometrical Retro Chic
          ","
              C$34
            ","
              US OS
            ","
          Vintage Pierre Cardin Silk Scarf Wrap Red White Cream Geometrical Retro Chic 

Rectangle Scarf 
Geometrical Stripes Pattern
Perfect Pop of Color on you outfit
Wear it around your neck, tied to your handbag, or as a hair accessory

Label has been taken off
Pierre Cardin, Paris 
100% Silk

40 x 8""

Excellent Vintage Condition
Bundle to Save 20%
        ","Seller Discount: 20% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Red, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/27/66ce6e14c479b8e0dc63c636/s_66ce6e171ce6668ab1e0ecbf.jpg,609,300+,1 day,53,https://poshmark.ca/listing/Vintage-Pierre-Cardin-Silk-Scarf-Wrap-Red-White-Cream-Geometrical-Retro-Chic-66ce6e14c479b8e0dc63c636
N/A,"
            Faux Pearl Cherry Design Necklace for Girl - Pre-loved
          ","
              C$12
            ","
              US OS (Baby)
            ","
          This charming Faux Pearl Cherry Design Necklace is perfect for adding a touch of whimsy to any girl's wardrobe. The delicate faux pearls and other colored beads that form a delightful cherry motif, creating a playful yet elegant accessory. As a pre-loved item, this necklace brings a unique story and character, making it a one-of-a-kind addition to her jewelry collection. Ideal for special occasions or everyday wear, this necklace is sure to be a cherished piece.
        ",N/A,"N/A, N/A, N/A, Red, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/28/66a68d30280cc6a34833a7e9/s_66a68d3ab1ef580ba06db553.jpg,567,100+,1 day,24,https://poshmark.ca/listing/Faux-Pearl-Cherry-Design-Necklace-for-Girl-Preloved-66a68d30280cc6a34833a7e9
Diadem,"
            Pom-Pom Tassel Shawl/Cover Up
          ","
              C$33
            ","
              US OS
            ","
          Gorgeous 
Embroidered flower details 
Playful Pom-Pom tassels 
Open front and sides  
Versatile accessory  
100% cotton
*always open to requests for additional photos and measurements  
*all photos depict the exact item you will receive
🌷
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Orange, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/03/09/65ed0abd32c1dcf547f6967e/s_65ed0abd32c1dcf547f6967f.jpeg,816,300+,1 day,100+,https://poshmark.ca/listing/PomPom-Tassel-ShawlCover-Up-65ed0abd32c1dcf547f6967e
N/A,"
            Kate Spade New York Black/Gold Foil Confetti Polka Dot Scarf with Tassels
          ","
              C$65
            ","
              US OS
            ","
          Kate Spade New York Black/Gold Foil Confetti Polka Dot Scarf with Tassels

	•	Brand: Kate Spade New York
	•	Material: 100% Viscose
	•	Color: Black with Gold Foil Polka Dots
	•	Details: Tassels on the edges
	•	Condition: Excellent, gently used


Add a festive flair to your wardrobe with this chic Kate Spade scarf, featuring a striking black backdrop adorned with gold foil confetti polka dots. This versatile accessory is made from 100% viscose, offering a soft and luxurious feel. The playful tassels at the ends add an extra touch of elegance, making it perfect for dressing up any outfit.
This Kate Spade scarf is the perfect statement piece for adding a hint of sparkle to your look, whether you’re heading to a special event or just want to elevate your everyday style.



Kate Spade scarf, black gold scarf, confetti dot scarf, foil polka dot scarf, tassel scarf, designer scarf, fashion accessory, elegant scarf, luxury scarf, women’s scarf, festive scarf, fall, comfy
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, Gold",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/11/66b93ea9d399ff06d6bc3db1/s_66b93f18dc8a4e1690dd3cb9.jpg,212,25+,1 day,7,https://poshmark.ca/listing/Kate-Spade-New-York-BlackGold-Foil-Confetti-Polka-Dot-Scarf-with-Tassels-66b93ea9d399ff06d6bc3db1
