Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Coach,"
            CH472 - Disney X Coach Accordion Zip Wallet with Minnie Mouse
          ","
              C$200
            ","
              7.5”L x 4”H x .75”W
            ","
          CH472 - Disney X Coach Accordion Zip Wallet with Minnie Mouse in Regenerative Leather
Color: Brass/Ivory
Size: 7.5”L x 4”H x .75”W
MSRP: $310

www.clubdemode.shop 🛍
Save 15% with coupon code FIRST15
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Cream",https://di2ponv0v5otw.cloudfront.net/posts/2023/05/13/64603d792fbf1a264c264d24/s_64603e0bfed51f391e6817df.jpg,2173,700+,1 day,100+,https://poshmark.ca/listing/CH472-Disney-X-Coach-Accordion-Zip-Wallet-with-Minnie-Mouse-64603d792fbf1a264c264d24
Nanette Lepore,"
            Nanette Lepore Handbag NWT
          ","
              C$34
            ","
              US OS
            ","
          Flat bottom
Zipper section inside 
New, never used
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black",https://di2ponv0v5otw.cloudfront.net/posts/2022/09/05/6316d2605d686bf6adeaf9e2/s_6316d291ffb5d0ef7af1351c.jpg,857,400+,1 day,100+,https://poshmark.ca/listing/Nanette-Lepore-Handbag-NWT-6316d2605d686bf6adeaf9e2
Michael Kors,"
            Michael Kors Vivianne Snake Python Leather Silver Chain Crossbody Shoulder Bag
          ","
              C$60
            ","
              US OS
            ","
          Michael Kors

Vivianne evening bag. can be worn crossbody with the chain long or double it up to wear as a shoulder bag

bag shows some wear on the outside including slight colour transfer on the back. please see photos for details. 

measurements in photos
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Gray",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/10/66e1038f943ddb1b19a3b6bd/s_66e10391b1ef587625c61895.jpg,1988,1300+,1 day,100+,https://poshmark.ca/listing/Michael-Kors-Vivianne-Snake-Python-Leather-Silver-Chain-Crossbody-Shoulder-Bag-66e1038f943ddb1b19a3b6bd
Petunia Pickle Bottom,"
            Petunia Pickle Bottom Sashay Satchel Diaper Bag Santiago Sunset
          ","
              C$28
            ","
              US OS
            ","
          Santiago Sunset Pattern - Grey with orange flowers
Pre-owned condition. It does have some color fading. Please see photos.* *backback straps have been taken off and are not included. 

-Top Satchel Handles
-Roomy Interior with 3 Organizational Pockets, 2 Bottle Pockets and Key Clip
-2 Exterior side Bottle Pockets
-2 Exterior Front and Back Magazine Pockets with Cell Phone Pocket
-No Changing Pad included.
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Orange, Gray, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/29/66d12ddcd3309f7dea0d9715/s_66d12e86d399ff80e807d087.jpg,40,5+,1 day,1,https://poshmark.ca/listing/Petunia-Pickle-Bottom-Sashay-Satchel-Diaper-Bag-Santiago-Sunset-66d12ddcd3309f7dea0d9715
Michael Kors,"
            Michael Kors Saffiano Leather Continental Wallet
          ","
              C$80
            ","
              US OS
            ","
          Michael Kors Saffiano leather wallet 
Silver tone hardware 
Measures appx  7” W x 4” H x 1” D 
Interior has zip pocket, 7 card slots, 2 slip
Pockets 
Colour is a taupe/grey 
In very good condition with one mark in the interior
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/01/66d5286014d7a6551f57e7c8/s_66d5286107ac5501d0fb330a.jpg,762,500+,1 day,100+,https://poshmark.ca/listing/Michael-Kors-Saffiano-Leather-Continental-Wallet-66d5286014d7a6551f57e7c8
Vivienne Westwood,"
            Vivienne Westwood Edgware Shoulder Bag black
          ","
              C$145
            ","
              US OS
            ","
          NEW WITH TAG.

Size: Height approx. 17cm x Width approx. 27cm x Depth approx. 7cm
Accessories: Storage bag, tag

New Vivienne Westwood black Edgewear shoulder bag extremely rare Japan

comes with dust bag.
        ","Price Dropped: 15%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/05/16/6646623072f45f516bad3580/s_667005dedc8a4ed4f8b53a70.jpeg,57,50+,1 day,3,https://poshmark.ca/listing/Vivienne-Westwood-Edgware-Shoulder-Bag-black-6646623072f45f516bad3580
Michael Kors,"
            🎁👛Crossbody michael kors medium original brand new with tag pink pale
          ","
              C$180
            ","
              US OS
            ","
          original
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Pink",https://di2ponv0v5otw.cloudfront.net/posts/2024/06/29/668089b56af575922a0ff3e1/s_66808a0adc327d3c0319c6f9.jpg,612,400+,1 day,66,https://poshmark.ca/listing/Crossbody-michael-kors-medium-original-brand-new-with-tag-pink-pale-668089b56af575922a0ff3e1
N/A,"
            Maam Samba Natural Cotton Tassel Bag  Handwoven
          ","
              C$25
            ","
              US OS
            ","
          Maam Samba Natural Cotton Tassel Bag

Handwoven Organic Cotton
Handmade in Senegal
Organic, Fair Trade
Size: 9.5 x 7 in
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/15/66e6caaab591edc839de995c/s_66e6caab1985246a6a7e67d5.jpeg,1906,800+,1 day,100+,https://poshmark.ca/listing/Maam-Samba-Natural-Cotton-Tassel-Bag-Handwoven-66e6caaab591edc839de995c
Marni,"
            Authentic Marni Market bag
          ","
              C$300
            ","
              8.75""×6.5""×8.5""
            ","
          Brandnew condition..in Plastic materials.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, White",https://di2ponv0v5otw.cloudfront.net/posts/2024/04/29/66302d9c154600ae9895d137/s_66302dbb0a60d5449f0d6824.jpg,949,400+,1 day,94,https://poshmark.ca/listing/Authentic-Marni-Market-bag-66302d9c154600ae9895d137
Disney,"
            Disney Beauty and the Beast Tale as old as time Danielle Nicole purse crossbody
          ","
              C$65
            ","
              US OS
            ","
          Be our guest, with this cute Danielle Nicole Beauty and the Beast cross body bag. Inspired by the iconic Disney movie, the handbag features Belle and the Beast, in a fairy-tale stained glass window. With detailed, colourful embroidery this is the perfect gift or accessory for any die-hard Disney fan. 
The brown rectangle bag features a zip around closure and measures 10” x 3 ¾“ x 3 ¼“. With a 22” strap, you can wear your favourite Disney Princess in style and comfort. 
This item is 100% genuine licensed Danielle Nicole merchandise & features official branding throughout. 

Officially licensed Danielle Nicole merchandise Perfect for any Princess! Features Belle and the Beast, in a fairy-tale stained glass window 

Measures 10” x 3 ¾“ x 3 ¼“. 
Polyurethane back with polyester lining 
New, never used

AG
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Brown, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/27/66ce3cddb4ee5b8d9cceb565/s_66ce3cddb4ee5b8d9cceb566.jpg,757,200+,1 day,42,https://poshmark.ca/listing/Disney-Beauty-and-the-Beast-Tale-as-old-as-time-Danielle-Nicole-purse-crossbody-66ce3cddb4ee5b8d9cceb565
