Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
MIOU MUSE,"
            MIOU MUSE NWT  white mini dress, gauze cotton dress with smocked waistline,flare
          ","
              C$32
            ","
              US L
            ","
          Gorgeous white summer cotton  dress. Flattering waistline 
Very short 
Lined skirt part 
Snap at v neck 
 Measurements taken laid flat 
Shoulder to shoulder seams 15”
PTP 18”
Waist 13” but can stretch to 17” 
Length 31”
Bottom width 34”

Fun summer dress 
Smoke free pet free home 

Style tags 
Féminine 
Summertime 
Cruise 
Resort 
Beach 
Coastal 
Cover up 
Dress 
Flirty
Coquette 
Coastal cowgirl 
Girlcore

Excellent new condition with tags still on!
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/26/66cca7a2ac1f7693ec112726/s_66cca7a3198524af9a6108ff.jpeg,1655,500+,1 day,98,https://poshmark.ca/listing/MIOU-MUSE-NWT-white-mini-dress-gauze-cotton-dress-with-smocked-waistlineflare-66cca7a2ac1f7693ec112726
N/A,"
            5/$25 Style 3184 Woman 1980 Dress sew pattern size 14-20
          ","
              C$18
            ","
              US 18
            ","
          Style 3184: Makes dresses size 14-20

1989, English and French

Pattern is not cut, assumed to be all in kit. Envelope is broken on one side, sold as is.
        ",N/A,"N/A, N/A, N/A, Green, Purple, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/02/13/65cc1901bd66cd355689a792/s_65cc19178634cbc8bda32a1e.jpg,1845,600+,1 day,68,https://poshmark.ca/listing/525-Style-3184-Woman-1980-Dress-sew-pattern-size-1420-65cc1901bd66cd355689a792
Aritzia,"
            ARITZIA Wilfred Éthéré Dress sleeveless back tie blush pink size Small
          ","
              C$30
            ","
              US S
            ","
          Aritzia Wilfred Éthéré Dress sleeveless back tie blush pink
Fully lined 
Mini length 
Great condition
Size Small 
Measurements in pictures 
53% viscose 47% rayon, lining 100% polyester
        ","Seller Discount: 25% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/06/66b1ed86538beb2c98aa1603/s_66b1ed87b1ef581f9f63a0bc.jpeg,4590,3200+,1 day,100+,https://poshmark.ca/listing/ARITZIA-Wilfred-thr-Dress-sleeveless-back-tie-blush-pink-size-Small-66b1ed86538beb2c98aa1603
Polo Ralph Lauren,"
            Polo Ralph Lauren Yellow Polo Mesh Dress
          ","
              C$90
            ","
              US XS
            ","
          Polo Mesh Dress
Size XS

Brand New With Tags
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Yellow",https://di2ponv0v5otw.cloudfront.net/posts/2020/08/22/5f417b169ad84432ca28683c/s_5f417b1e81a36ca9a6c553de.jpeg,491,300+,2 days,17,https://poshmark.ca/listing/Polo-Ralph-Lauren-Yellow-Polo-Mesh-Dress-5f417b169ad84432ca28683c
Eliza J,"
            Eliza J Linen Blend Sleeveless Sheath Dress Size 6
          ","
              C$38
            ","
              US 6
            ","
          Banana Republic navy blue linen blend sleeveless sheath dress with V-neckline accentuated by a white lace embroidery appliqué. Concealed back zip closure. Fully lined. Hem sits above the knee for 5’6” tall. Outer shell: 55% linen, 45% rayon. Lining: 100% polyester.

*Excellent preowned condition.
*Photo on model for reference only

No Poshmark account? No Problem!
Sign up using the following code: ChickChic0825 to receive $10 credit towards your purchase on Poshmark!

Thank you for shopping at ChickChic!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, Blue, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/06/66b2c488ba3d485f18dcaff7/s_66b2c489b9db3a2b675184ac.jpg,440,100+,1 day,10,https://poshmark.ca/listing/Eliza-J-Linen-Blend-Sleeveless-Sheath-Dress-Size-6-66b2c488ba3d485f18dcaff7
N/A,"
            Mint Green Floor Length Dress Size Small NWOT
          ","
              C$35
            ","
              US S
            ","
          Easy care synthetic fabric
No size on brand tag. Fits Size Small
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Green",https://di2ponv0v5otw.cloudfront.net/posts/2020/01/15/5e1f9e16bbce0bc2d7a5736d/s_5e1f9e1b152812fc006a3acd.jpeg,4993,1200+,1 day,100+,https://poshmark.ca/listing/Mint-Green-Floor-Length-Dress-Size-Small-NWOT-5e1f9e16bbce0bc2d7a5736d
Lilly Pulitzer,"
            Lilly Pulitzer Mini Dress Womens 2X Blue Sea Urchin Adjustable Straps Beach
          ","
              C$54
            ","
              US 2X
            ","
          Lilly Pulitzer Mini Dress Womens 2X Blue Sea Urchin Adjustable Straps Beach



Good pre-owned condition (see photos for details)


 * Style Profile: casual, summer, vacation, resort
 * Size: 2x
 * Flaws: no flaws, rips or stains

 * Chest flat: 25
 * Length: 33
 * Measurements are approximate. Item is laid flat without stretching which could make the measurements off by .5 to 1 inch. 


/
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/10/66e081910c84274f093c530d/s_66e081e4c4b73ae00c2d0ae6.jpg,4822,3200+,1 day,100+,https://poshmark.ca/listing/Lilly-Pulitzer-Mini-Dress-Womens-2X-Blue-Sea-Urchin-Adjustable-Straps-Beach-66e081910c84274f093c530d
Kindred Bravely,"
            Kindred Bravely Maternity / Nursing Dress
          ","
              C$10
            ","
              US XS (Maternity)
            ","
          Excellent pre-worn condition, super soft & stretchy flattering versatile dress that can be worn dressed up or more casual. Fits more like a small, 94% Modal 6% spandex.
        ","Seller Discount: 15% off 2+ Bundle, Price Dropped: 38%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Black, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2022/10/12/6346f9de97b5d0b8bb0454f7/s_63c4a305ffb5d028aeb0c6a1.jpg,920,700+,1 day,88,https://poshmark.ca/listing/Kindred-Bravely-Maternity-Nursing-Dress-6346f9de97b5d0b8bb0454f7
Anthropologie,"
            Anthropologie Maeve Larkhill Orange Silk Floral Sleeveless Midi Dress
          ","
              C$87
            ","
              US XS
            ","
          MAEVE Anthropologie Larkhill Midi Dress 
* Color: Orange large vibrant flowers
* Lined
* Swing silhouette
* High neckline
* Side pockets
* Button back
* Sleeveless
* Material: 100% silk 
* Care: Hand wash cold separately
* Size: XS
*Measurement (approx.): pit to pit - 18""; Length - 40""; Waist - 21""; 
* Condition - In very good pre-owned condition

Please see pictures for details as pictures are part of descriptions.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Orange, Black, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/05/66b173f4db3a6f617acc552a/s_66b173f6d90d2103347f9a15.jpg,877,400+,3 days,74,https://poshmark.ca/listing/Anthropologie-Maeve-Larkhill-Orange-Silk-Floral-Sleeveless-Midi-Dress-66b173f4db3a6f617acc552a
American Eagle Outfitters,"
            XXL American Eagle Dress
          ","
              C$28
            ","
              US XXL
            ","
          New
        ","Seller Discount: 10% off 3+ Bundle, Price Dropped: 13%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/13/66bb4052d399ff7d7dc9ae82/s_66bb4062693ff7a8bcb24aea.jpg,1267,700+,1 day,72,https://poshmark.ca/listing/XXL-American-Eagle-Dress-66bb4052d399ff7d7dc9ae82
