Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Stella & Dot,"
            Stella & Dot Enlightened Buckled Bracelet Mother Daughter Sister Red Leather
          ","
              C$27
            ","
              US OS
            ","
          Stella & Dot Enlightened Buckled Bracelet is a beautiful symbol of love and connection. Crafted from red leather and accented with a sleek gold buckle and plate. Perfect for mothers, daughters, and sisters, its chic design makes it an ideal accessory for any occasion, whether it’s everyday wear or a special event. Used as a display piece and worn a few times. No box. Light surface scratches, not noticeable when worn. Please refer to photos.


Features:

Brand: Stella & Dot
Design: Buckled bracelet
Material: Red leather, gold tone metal
Style: Elegant and chic
Bead Color: Gold tone plate
Size: Adjustable for a comfortable fit
Dimensions: Length: 7 1/2""
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Red, Gold, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/04/66d85e1b1b40a7b7c59d7b6b/s_66d85e1cd3309f64fd9bd3c6.jpg,1943,1300+,1 day,100+,https://poshmark.ca/listing/Stella-Dot-Enlightened-Buckled-Bracelet-Mother-Daughter-Sister-Red-Leather-66d85e1b1b40a7b7c59d7b6b
N/A,"
            Red & White Retro Large Chunky Beaded Necklace
          ","
              C$26
            ","
              US OS
            ","
          Add a touch of retro flair to your outfit with this Red & White Retro Large Chunky Beaded Necklace. The round pendant shape and beaded design give this necklace a unique and eye-catching appeal. The white color scheme adds a classic and elegant touch, making it a versatile piece to complement any look. Made with quality materials, this necklace is a must-have addition to your jewelry collection. Perfect for adding a pop of style to your ensemble, this necklace is sure to become a staple accessory.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Red, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/28/66a66a9a3fd8e791e8595dd9/s_66a66c1acf86b1fed1d23ce1.jpeg,835,400+,1 day,76,https://poshmark.ca/listing/Red-White-Retro-Large-Chunky-Beaded-Necklace-66a66a9a3fd8e791e8595dd9
N/A,"
            Pewter Dangly  Bird Earrings
          ","
              C$25
            ","
              US OS
            ","
          Beautiful earrings! Beautiful texture and details, closable hook fastening.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/09/66df82e2a5bb345ef4636493/s_66df82e4e825d1db4eeb8c21.jpeg,894,700+,1 day,100+,https://poshmark.ca/listing/PewterDangly-BirdEarrings-66df82e2a5bb345ef4636493
N/A,"
            Handmade hand pressed fabric button earrings 5  pairs
          ","
              C$10
            ","
              US OS
            ","
          Handmade earrings
Hand pressed fabric button earrings
5 pairs as shown
        ","Price Dropped: 23%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/06/66dae536eba4c4472fb4dec4/s_66dae53815ad5434fffac1a2.png,8839,7600+,1 day,100+,https://poshmark.ca/listing/Handmade-hand-pressed-fabric-button-earrings-5-pairs-66dae536eba4c4472fb4dec4
N/A,"
            Silver Boho Style Drop Earrings.  New.
          ","
              C$17
            ","
              US OS
            ","
          Lovely boho style silver toned earrings. Turquoise stone in the center. 

Approximate drop length: 5cm
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, Silver, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/02/66d578ea3fd8e7e586e5e749/s_66d578eb580123eae54f29e5.jpg,225,80+,1 day,13,https://poshmark.ca/listing/Silver-Boho-Style-Drop-Earrings-New-66d578ea3fd8e7e586e5e749
N/A,"
            Snowflake Zircon Brooch
          ","
              C$40
            ","
              US OS
            ","
          🌷Bundles and offers welcome!🌻

Material: White Gold Plated Copper, Zircon
Size: 1.65""X1.65"" (4.2cmX4.2cm)
Color: Silver tone.

🌷Mix 'n' match and send me an offer, I can't accept an offer if you don't ask. 🌻
        ",N/A,"N/A, N/A, N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/02/26/65dd05a6a0aeb711ea7931ce/s_65dd075652eee16de623cf27.jpg,480,95+,1 day,16,https://poshmark.ca/listing/Snowflake-Zircon-Brooch-65dd05a6a0aeb711ea7931ce
N/A,"
            NEW💎Silver Chunky Hoop Earrings*Hollow Heart Design
          ","
              C$29
            ","
              US OS
            ","
          ****BRAND NEW****

*****BUNDLE & SAVE MORE****

Material: Rhodium On Stainless Steel 

✅Waterproof
✅Sweatproof 
✅Oceanproof
✅Worry Proof
✅Hypoallergenic 
✅Tarnish Free

💧Waterproof jewelry that won't tarnish. You can shower, swim and exercise every day while wearing it. 

Your jewellery will be packaged in gift pouches & boxes

Just a reminder, all sales are final. If you have any questions, don't hesitate to get in touch with us.



Other Listings: Waterproof Jewelry Sweatproof Jewelry Ocean Inspired Jewelry Vintage Inspired Jewelry Water Resistant Jewelry Lightweight Earrings Statement Earrings Bold Earrings Chunky Earrings Modern Earrings Dainty Jewelry Everyday Jewelry Minimalist Jewelry prom rose gold cushion retro princess chain radiant ctw aqua party snake flat necklace bracelet simple circle bangle micro earring pear cut carat moon star flower daisy anniversary heart fine coin vintage style Christmas Thanksgiving Mother's day jewelry bridal sapphire emerald plated filled promise braided solitaire solid black green blue winter spring summer fall zodiac constellation astrology choker minimalist bridemaid babyshower graduation crown pearl link holiday chain paveengagement band diamond heart 10k 14k 18k 22k 24k weddings cross opal antique pink 24k gift halo herringbone round crystal chunky jewel 925 sterling silver hoop tennis friend bling bridal star love natural
        ","Seller Discount: 25% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Silver, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/26/66a34ce4bfd9a60d1e15a719/s_66a34cfdd399ff4ead40fde6.jpg,448,45+,1 day,1,https://poshmark.ca/listing/NEWSilver-Chunky-Hoop-EarringsHollow-Heart-Design-66a34ce4bfd9a60d1e15a719
Spirit,"
            Clown Choker Necklace
          ","
              C$18
            ","
              US OS
            ","
          Clown Choker Necklace 
Wore for 1 Halloween 
Measurements of necklace in pictures 
Little makeup rub on inside of necklace from wearing it on Halloween. 

Wore this piece with Killer clown costume, Outfit and other accessories sold separately, available in my closet. 
Remember to bundle!! 

A
Bin 12
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Red, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/05/26/6652f89164f5a23993a87a88/s_6652f89174127141f5aaec61.jpg,2465,1700+,1 day,100+,https://poshmark.ca/listing/Clown-Choker-Necklace-6652f89164f5a23993a87a88
N/A,"
            Lollipop Brooch Lollipop Pin Rhinestone Candy Brooch Pin
          ","
              C$19
            ","
              US OS
            ","
          🌷Bundles and offers welcome!🌻
✿✿Size: 1.85""X 1.06"" (4.7cm by 2.7cm)
🌷Mix 'n' match and send me an offer, I can't accept an offer if you don't ask. 🌻
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/03/04/65e61b4cff0484a3071b4fc9/s_65e61b8e4bf9ff5c078324a9.jpg,480,95+,1 day,16,https://poshmark.ca/listing/Lollipop-Brooch-Lollipop-Pin-Rhinestone-Candy-Brooch-Pin-65e61b4cff0484a3071b4fc9
estate,"
            Sterling and Black Onyx Bangle 1.25"" teardrop stone Bracelet marked 925  7.5 in
          ","
              C$230
            ","
              US OS
            ","
          The new owner will covet this gorgeous chunky yet elegant vintage bracelet with a large onyx natural stone in 925 sterling bad. Hook closure. Smooth lines.  Stunning.  7.5"" bracelet with a 1.25 x 1"" gorgeous onyx. 23 g in excellent condition with minor wear. Marked 925. Please see my other listings for more great finds.
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Silver, Black",https://di2ponv0v5otw.cloudfront.net/posts/2024/05/20/664c02d87fc8262775ae739e/s_664c0318dc327d83cb9eccb3.jpeg,483,50+,1 day,11,https://poshmark.ca/listing/Sterling-and-Black-Onyx-Bangle-125-teardrop-stone-Bracelet-marked-925-75-in-664c02d87fc8262775ae739e
