Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Zara,"
            NEW ZARA Sz M Y2K Russett Linen Cotton Babydoll Boho Cottagecore Peasant Blouse
          ","
              C$45
            ","
              US M
            ","
          NEW NWT Original Tags
ZARA 
Women’s Size Medium
Russet (Orange Brown Colour)
Cotton Linen Blend
Deep V 
Peplum 
Babydoll
Tier
Boho Peasant Cottagecore
Blouse 

Create a bundle and save!
Offers Welcome 💕

New to Poshmark? Shopping as a Guest? Sign up with our code - BLESHOUSE - to get $15 off your first Poshmark purchase.

Autumn/Fall
Flowy
Casual
Comfy
Breathable 
Natural Fibres
Lagenlook
Boho
Y2K
Early 2000s

1139
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Red, Brown, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/01/66abed260e517228630d94b0/s_66c8eb272d829a8347c844df.jpg,3597,2100+,1 day,100+,https://poshmark.ca/listing/NEW-ZARA-Sz-M-Y2K-Russett-Linen-Cotton-Babydoll-Boho-Cottagecore-Peasant-Blouse-66abed260e517228630d94b0
Jax,"
            A Jax medium stripped top
          ","
              C$15
            ","
              US M
            ","
          A nice stripped top in size medium   Very soft , pale colours 

Pit to pit -  20 inches 
Shoulder to hem - 25 inches
        ","Seller Discount: 25% off 4+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Pink, White, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2023/08/30/64ef6e064bc6554f65fb1e99/s_64ef6e107dfcc293d060c1a2.jpg,3124,2100+,1 day,100+,https://poshmark.ca/listing/A-Jax-medium-stripped-top-64ef6e064bc6554f65fb1e99
Coco & tashi,"
            Coco & Tashi Colorful Tunic, Medium‎
          ","
              C$18
            ","
              US M
            ","
          Coco & Tashi Colorful Tunic, Medium 

Faux leather belt and trim on pockets. 

In very good preowned condition 

Pit to pit 18”

31.5” in length

A3c-p38

450
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, Black, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/05/29/665720b6dcd5a551f7e5be72/s_665720b6dcd5a551f7e5be73.png,2733,1500+,1 day,100+,https://poshmark.ca/listing/Coco-Tashi-Colorful-Tunic-Medium-665720b6dcd5a551f7e5be72
Shaun White,"
            Kid's Shaun White XL Crewneck T Shirt
          ","
              C$24
            ","
              US XL (Boy)
            ","
          No stains or damage. Shaun White. Shaun White is an American former professional snowboarder and skateboarder. He is a five-time Olympian and a three-time Olympic gold medalist in half-pipe snowboarding. He holds the world record for the most X Games gold medals and most Olympic gold medals by a snowboarder. 

Pit to pit 18.5in
Length 23.5in
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/16/66e807cec4c837dd75eff7fc/s_66e807cf206847b64ecd811f.jpeg,564,200+,1 day,27,https://poshmark.ca/listing/Kids-Shaun-White-XL-Crewneck-T-Shirt-66e807cec4c837dd75eff7fc
The Children's Place,"
            Childrens Place Short Sleeve Plaid Poplin Button Up Shirt Boys 2T
          ","
              C$20
            ","
              US 2T (Boy)
            ","
          Short Sleeve Button Down Shirt by Children’s Place
100% Cotton 
Pointed Collar 
Chest Pocket
Curved Shirt Tail Hem

Excellent Used Condition
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/16/6696ef36693ff76bc8413b5a/s_6696ef36693ff76bc8413b5b.jpg,2849,1900+,1 day,100+,https://poshmark.ca/listing/Childrens-Place-Short-Sleeve-Plaid-Poplin-Button-Up-Shirt-Boys-2T-6696ef36693ff76bc8413b5a
brooke chapman,"
            BROOKE CHAPMAN  TROPICAL BLOUSE SIZE 18
          ","
              C$44
            ","
              US 18
            ","
          great condition 
size 18
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Orange, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/06/66dac0ecb142f3f6f2ea4853/s_66dac0f4f88471dbe33c23c4.jpg,4997,4600+,1 day,100+,https://poshmark.ca/listing/BROOKE-CHAPMAN-TROPICAL-BLOUSE-SIZE-18-66dac0ecb142f3f6f2ea4853
Under Armour,"
            Men's Under Armour fitted gym shirt
          ","
              C$17
            ","
              US M
            ","
          Men's Under Armour fitted gym shirt size medium. Great condition.
        ","Seller Discount: 25% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue",https://di2ponv0v5otw.cloudfront.net/posts/2023/03/12/640e1d4858083dc8ca469d24/s_640e1d8effb5d0a3841acfa6.jpg,337,100+,2 days,28,https://poshmark.ca/listing/Mens-Under-Armour-fitted-gym-shirt-640e1d4858083dc8ca469d24
N/A,"
            - Rick and Morty I am pickle Rick graphic short sleeve tee (men’s size XL)
          ","
              C$22
            ","
              US XL
            ","
          Men’s size X-Large graphic short sleeve tee 
Features - I am pickle Rick, from Rick and Morty 
Unisex 
does have a small white stain (possibly paint on shoulder, as shown in picture)
100% cotton 
Color may vary slightly then shown in pictures
In good preloved condition
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Green, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/25/66a2f7746da06e7e29020be4/s_66a2f775142ad41e414ac1b8.jpeg,481,200+,2 days,38,https://poshmark.ca/listing/Rick-and-Morty-I-am-pickle-Rick-graphic-short-sleeve-tee-mens-size-XL-66a2f7746da06e7e29020be4
Anne Klein,"
            Anne Klein Top
          ","
              C$28
            ","
              US M
            ","
          Square neckline
Small pleat at each end of square forming the neckline
Sleeveless
Pink/green/yellow/blue colours
Very soft feel
96 % polyester 
4% elastane

Approximate measurements:
Pit to pit 20""
Length 26""
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/06/29/66801a512839bcbef440d5a1/s_6680232c896c380e50da9595.jpg,729,60+,1 day,9,https://poshmark.ca/listing/Anne-Klein-Top-66801a512839bcbef440d5a1
FootJoy,"
            FootJoy FJ 1/4 Zip Pullover Nylon Blue Long Sleeve Mens M Golf
          ","
              C$50
            ","
              US M
            ","
          In great, gently worn condition 

Flat lay measurements are provided in the pictures (Please compare these measurements to an item of your own to ensure a good fit)

Please note actual colour may differ slightly from the colour shown in the photos due to lighting. From a smoke free, pet free home.
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Blue",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/31/66d33136c24a6d3009964ad7/s_66d331372d829ae9d7649201.jpg,2013,1200+,1 day,100+,https://poshmark.ca/listing/FootJoy-FJ-14-Zip-Pullover-Nylon-Blue-Long-Sleeve-Mens-M-Golf-66d33136c24a6d3009964ad7
Body 10Der,"
            Body 10Der brand, flannel style shirt, ladies lg, EUC, cozy wardrobe staple
          ","
              C$30
            ","
              US L
            ","
          Body 10Der brand

Size shows large, fits more like a ladies medium.
Long sleeve, cozy flannel style. Sleeves have a roll up button detail, can be worn as 3/4 length sleeves or wear them down as full length. 
Red, grey, black plaid design, super cute for your fall & winter wardrobe. 
Shirt has cute V line button detail along upper front colour. 
Left front side pocket.
Shirt has a slight fitted design, with a rounded scalloped style bottom flair. Very flattering design. 

Excellent used condition, no flaws that I can find. 

Please see pics for approx dimensions.
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Red, Gray, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2023/09/30/6518c649c5df6cc8ab9ead31/s_6518c69cff0484ac49690af6.jpg,382,100+,2 days,13,https://poshmark.ca/listing/Body-10Der-brand-flannel-style-shirt-ladies-lg-EUC-cozy-wardrobe-staple-6518c649c5df6cc8ab9ead31
Abound,"
            Abound coral plaid blouse puff sleeve country cowgirl western
          ","
              C$25
            ","
              US M
            ","
          Brand new price on tag is usd. Coral coloured
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, Orange",https://di2ponv0v5otw.cloudfront.net/posts/2023/05/04/64545484dff94d2822c5a39e/s_6454548eff048447174794a5.jpg,2802,1200+,1 day,100+,https://poshmark.ca/listing/Abound-coral-plaid-blouse-puff-sleeve-country-cowgirl-western-64545484dff94d2822c5a39e
Joie,"
            By Joie gorgeous feminine 3/4 sleeve blouse s
          ","
              C$27
            ","
              US S
            ","
          amazing feminine blouse by Joie .. this blouse has so much detailing, sleeves have a balloon  3/4 sleeve length, with a ruffle at the cuff area, neckline has a keyhole tie front, or if left open because a v-neck.. gathers at the shoulder with a little ruffle, looks amazing with jeans, shorts, and skirts, which makes this very versatile.. loving the colors for summer.. Worn a couple times, no flaws.
        ","Price Dropped: 13%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Orange, White",https://di2ponv0v5otw.cloudfront.net/posts/2023/07/07/64a87a7761497323e58b81ec/s_64a87ab4dff94d5f0c2b7ffb.jpg,1158,600+,1 day,88,https://poshmark.ca/listing/By-Joie-gorgeous-feminine-34-sleeve-blouse-s-64a87a7761497323e58b81ec
Honey,"
            Honey Wake Up and Be Fabulous Heart T Shirt in Yellow Size S
          ","
              C$18
            ","
              US S
            ","
          Great condition 
No noticeable flaws 

Please look at the pictures for measurements.

New to Poshmark? Use code KOKO_KS when signing up to get $15 off your order!
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Yellow, Pink, N/A",N/A,1824,700+,1 day,73,https://poshmark.ca/listing/Honey-Wake-Up-and-Be-Fabulous-Heart-T-Shirt-in-Yellow-Size-S-6501eb0ec5df6c5b21a7d38b
Forever 21,"
            Forever 21 Floral Print Zipped Top
          ","
              C$25
            ","
              US L
            ","
          Forever 21, Large, Floral Print Zipped Top. 100% Rayon, Easy care, V-Neck, falls over the hips, Zipper in front, elastic waistband in the back. New without tags, tags were removed but it was never wore or washed, clean in & out, no defect, odor free envionment.
        ","Seller Discount: 10% off 2+ Bundle, Price Dropped: 26%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, White",N/A,636,300+,1 day,56,https://poshmark.ca/listing/Forever-21-Floral-Print-Zipped-Top-66b781656af57513564fb517
GAP,"
            Gap Kids Size 8/10
          ","
              C$14
            ","
              US 8 (Boy)
            ","
          questions? comment below!
bundle and save!
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Brown",N/A,363,50+,1 day,1,https://poshmark.ca/listing/Gap-Kids-Size-810-66d849769189ea02b8956fae
Moschino,"
            NWT Moschino couture top men’s size large USA 40  EUR 50
          ","
              C$170
            ","
              US L
            ","
          New with tags men moschino white t shirt 

Size tag is 40 US which converts to Large based off the size chart from the moschino website

Very nice designer top
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, White, N/A, N/A, N/A",N/A,1276,1000+,2 days,100+,https://poshmark.ca/listing/NWT-Moschino-couture-top-mens-size-large-USA-40-EUR-50-66d7c8e9948ffe0a5abf4d35
Everlane,"
            NWT The Linen Workwear Shirt
          ","
              C$90
            ","
              US L
            ","
          100% linen

Colour: Warm Khaki

New with tags

Pit to Pit: 22in approx.
Length: 24.5in approx.

Want $15 off? Sign up with Poshmark today and use my code: J_PIN ✨         

Buy 3 items get 30% off - automatically applied 😊
        ","Seller Discount: 30% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Cream, N/A",N/A,1135,700+,1 day,96,https://poshmark.ca/listing/NWT-The-Linen-Workwear-Shirt-66cddefbb2780cc68de4ce4b
Guess,"
            Guess Faux Leather Bustier Top size S
          ","
              C$45
            ","
              US S
            ","
          Stunning and sexy Guess Bustier Top.... textured faux leather in a size small 
back zipper
strechy 
excellent condition
        ","Seller Discount: 30% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Black, N/A",N/A,3170,1400+,1 day,100+,https://poshmark.ca/listing/Guess-Faux-Leather-Bustier-Top-size-S-66cf1077bc6e1c7cd0ae4cdd
Columbia,"
            COLUMBIA Omni-Heat Base-layer Top
          ","
              C$19
            ","
              US XS
            ","
          Columbia
Omni-heat technology 
Reflective thermal interior
Stretchy
Good condition
Size XS
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, N/A, N/A, N/A",N/A,1031,600+,1 day,81,https://poshmark.ca/listing/COLUMBIA-OmniHeat-Baselayer-Top-667e083d4f80f9fdd5957e3b
lululemon athletica,"
            Lululemon No Limits Running Tank Top Built in Shelf Bra Black Size 6
          ","
              C$15
            ","
              US 6
            ","
          Excellent condition
Dot verified size 6
        ",C$12.49C$9.99Expedited (1-7 day) Shipping,"N/A, N/A, N/A, Black",N/A,136,5+,1 day,--,https://poshmark.ca/listing/Lululemon-No-Limits-Running-Tank-Top-Built-in-Shelf-Bra-Black-Size-6-66bffff20841b992834bc679
hunter x,"
            Hunter X Tee Shirt Medium, Men's
          ","
              C$10
            ","
              US M
            ","
          Great Condition, small defect on the front as shown in photos. 

Will likely wash right out.
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black",N/A,323,100+,1 day,7,https://poshmark.ca/listing/Hunter-X-Tee-Shirt-Medium-Mens-66e69f4972f45f9e0b26fda5
Suzy Shier,"
            Suzy Shier Velour Snakeakin Top
          ","
              C$35
            ","
              US M
            ","
          Gently used - Any wear will be shown in the photos above. 

💝 Fast shippingˑ ִֶָ 𓂃⊹ ✧
💝 10% off when 4 items are bundled!
💝 Only Reasonable offers accepted, most items are already discounted.
💝 New to Posh? Use referral code YOLAVOLIA when you sign up to get $15 off of your first purchase❣️
        ","Seller Discount: 10% off 4+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, Purple, N/A, N/A, N/A",N/A,700,100+,1 day,31,https://poshmark.ca/listing/Suzy-Shier-Velour-Snakeakin-Top-668c8819775caf6e30ce8e69
