Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
New Balance,"
            New Balance Womens FF Arishi V3 Blue Running Shoes Sneakers Size 8 B
          ","
              C$59
            ","
              US 8
            ","
          PERFECT CONDITION, gently used. No Box.

If you have any questions, please reach out!

SAME DAY SHIPPING
(STORE IS RELAUNCHING, WE WILL NOW BE PROVIDING FASTER SHIPPING)

I package and ship each pair carefully!

Size: 8 for women (see tag in photos for more details about the size)

Pair in photos is the exact pair you are purchasing.

Make sure to follow. I list new inventory daily and offer bundle pricing! Feel Free to send offers!
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/25/66cbbbf272f45fe85a77dd7f/s_66cbc0e0c9af8cd8224282d0.jpeg,333,200+,1 day,33,https://poshmark.ca/listing/New-Balance-Womens-FF-Arishi-V3-Blue-Running-Shoes-Sneakers-Size-8-B-66cbbbf272f45fe85a77dd7f
Nike,"
            Size 8.5 - Nike Air Max 95 Essential Ocean Cube AT9865-002 Very Good Condition
          ","
              C$60
            ","
              US 8.5
            ","
          Preowned Bo Box
        ","Seller Discount: 30% off 7+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, Orange",https://di2ponv0v5otw.cloudfront.net/posts/2024/06/01/665b652c8a00e3feba4a9657/s_665b6555bfd9a6066f8efd0a.jpg,1082,500+,2 days,40,https://poshmark.ca/listing/Size-85-Nike-Air-Max-95-Essential-Ocean-Cube-AT9865002-Very-Good-Condition-665b652c8a00e3feba4a9657
Nike,"
            GUC -  Nike Air White with Red Symbol Size 10
          ","
              C$100
            ","
              US 10
            ","
          Classic Nike Air sneakers in white with a red symbol, size 10. Please see the scuff marks on shoes. Please note all measurements are approximate
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Red, White, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/25/66cc005113d68157fe2347f8/s_66cc00d0b4ee5bafeeefa56f.jpeg,62,--,--,--,https://poshmark.ca/listing/GUC-Nike-Air-White-with-Red-Symbol-Size-10-66cc005113d68157fe2347f8
Body Glove,"
            NWOT Hot Pink Body Glove Sneakers with White Soles. Size: 7
          ","
              C$30
            ","
              US 7
            ","
          Pretty in Pink 💕💕

These bright pink sneakers scream FUN with a capital F 😊

*Bright pink Body Glove lace up sneakers with white trim.  
*Size: 7
*Materials: Textile
*Never been worn
*Smoke-free home 
*Differences in screen resolution/lighting conditions may cause colour to vary from photos.  

Tags: Bright pink sneakers, hot pink lace up sneakers, Body Glove hot pink sneakers, Size 7 hot pink sneakers

Create a bundle of 3 or more and receive a 15% discount and save on shipping 🛍💰!
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/06/66b21efed90d216850c317ea/s_66b21effd90d216850c317ef.jpg,396,200+,1 day,52,https://poshmark.ca/listing/NWOT-Hot-Pink-Body-Glove-Sneakers-with-White-Soles-Size-7-66b21efed90d216850c317ea
Call It Spring,"
            Call it spring strappy sexy heels
          ","
              C$13
            ","
              US 8
            ","
          Lace up strappy heels
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Black",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/01/66d44101b142f34947f450f9/s_66d441020a60d53db11698b7.jpg,245,100+,2 days,12,https://poshmark.ca/listing/Call-it-spring-strappy-sexy-heels-66d44101b142f34947f450f9
Vintage,"
            Vintage Black Leather 80s Strappy Grecian Gladiator Open Toe Heeled Sandal
          ","
              C$49
            ","
              EU 39
            ","
          Step back in time with these vintage 80s strappy Grecian gladiator heel open-toe sandals. Crafted from premium black leather, these sandals feature a stylish and timeless design, with multiple straps creating a striking look. The heel adds height and elegance, perfect for the fashion-forward on-trend one. Size 39. Get yours today.

colour:
Black

strappy leather
gladiator style
back zip closure
snug fit with no elasticity
small faux-stacked wood heel (about 2"")
size 39

good pre-owned vintage
some signs of wear but otherwise in-tact
functioning back zip
extra padded insole for additional comfort

Perfect punctuation for you warm weather #OOTD. Great with Longer midi-length skirt proportions and prairie -style looks. Add a raffia bag.

thestyleminr.com
        ","Seller Discount: 5% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/08/66de43745c465e55d96e2534/s_66de43756ccbb64b818d7034.jpeg,1030,200+,1 day,28,https://poshmark.ca/listing/Vintage-Black-Leather-80s-Strappy-Grecian-Gladiator-Open-Toe-Heeled-Sandal-66de43745c465e55d96e2534
london rebel,"
            NEW asos London Rebel daisy jelly sandals in rainbow​​​
          ","
              C$25
            ","
              US 6
            ","
          New without tags 
Asos

Sandals by London Rebel It's open-toe season Rainbow design Adjustable slingback strap Daisy detail Pin-buckle fastening Toe post Flat sole
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/10/66b714af234eedbc4380b4e5/s_66b714afe825d172c3071c98.jpg,4750,2200+,2 days,100+,https://poshmark.ca/listing/NEW-asos-London-Rebel-daisy-jelly-sandals-in-rainbow-66b714af234eedbc4380b4e5
Rockport,"
            GUC Rockport Grey Gray Leather Hightop Sneakers Shoes White Sole Women’s Size 9
          ","
              C$29
            ","
              US 9
            ","
          Excellent used condition.  One small flaw of a few small spots as pictured.  Priced accordingly.

Shoes are always shipped in a box to ensure they arrive to you in excellent condition 😁

💲Bundle to save 💲

⭐️All reasonable offers are accepted
🏅Top rated seller & Posh Ambassador 
💌 Fast shipper rating, often same day

💰 New to Poshmark? Use code « TALLPOPPYDESIGN » when you sign up to get 15$ off your first purchase!

Shop 🛍️ tall poppy design’s full collection of: vacation outfit - preppy - y2k - cottagecore - gypsy - boho - tiktok - classic - classy - trendy - work office - business casual - contemporary - minimalist - business professional - workplace wear - fall - winter - spring - summer - 90s - blouse - holiday party - Christmas - thanksgiving - date night - wedding guest - bridesmaid - bachelorette - baby shower - casual - dressy - hippie - beach - birthday gift - resort - 00s - cruise - travel - Light academia - vintage - baddie aesthetic - color-block pastel - pearlcore - prairie - grannycore - granny festival - soft-girl - dopamine dressing - maximalist - coquette - cottagecore - instabaddie - engagement party - family photos - western - 60s - 70s - pool - girly - bohemian - graduation - homecoming - flirty- capsule wardrobe - eclectic grandpa - grunge and more!
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Gray, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/06/17/6670c0a615ad54a6c77c32d6/s_6670c0f4d399ff821ea86dfc.jpg,569,200+,1 day,32,https://poshmark.ca/listing/GUC-Rockport-Grey-Gray-Leather-Hightop-Sneakers-Shoes-White-Sole-Womens-Size-9-6670c0a615ad54a6c77c32d6
Stuart Weitzman,"
            STUART WEITZMAN VINTAGE BLACK BROWN SHOE ANIMAL PRINTS SLIP ON SHOE BLOCK HEELS
          ","
              C$139
            ","
              US 9
            ","
          STUART WEITZMAN BLACK/BROWN ANIMAL PRINT SLIP-ON HEELS WOMEN'S SIZE 9 B

Step out in style with these vintage Stuart Weitzman heels, featuring a striking black and brown animal print design. Made in Spain, these slip-on shoes are adorned with a leather trim and sit on a chunky wooden block heel, providing both comfort and elegance. The square toe adds a touch of modern sophistication to this classic design.

style: slip-on heels  
size: women's 9 B  
material: animal print fabric, leather trim  
condition: excellent  
notes: wooden block heels, made in Spain

These Stuart Weitzman shoes are a timeless addition to any shoe collection, perfect for both casual and dressy occasions.

(meta: Explore Stuart Weitzman black/brown animal print slip-on heels, women's size 9 B. Vintage shoes made in Spain with leather trim and wooden block heels.
        ",N/A,"N/A, N/A, N/A, Black, Brown, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/25/66cb8494bfd9a68e7587f23f/s_66cb84d8b9db3aed2bc8eb09.jpg,2238,1600+,1 day,100+,https://poshmark.ca/listing/STUART-WEITZMAN-VINTAGE-BLACK-BROWN-SHOE-ANIMAL-PRINTS-SLIP-ON-SHOE-BLOCK-HEELS-66cb8494bfd9a68e7587f23f
Rothy's,"
            ROTHY’S Yellow Pointed Toe Flats 10
          ","
              C$225
            ","
              US 10
            ","
          Rothy’s Yellow Pointed Toe Flats 10
Great pre loved condition, only worn a few times 
Colour is retired 
Size 10
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Yellow, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/28/66cf121eef1ef7841760d1b6/s_66cf122115460065b409ec07.jpg,1823,700+,3 days,100+,https://poshmark.ca/listing/ROTHYS-Yellow-Pointed-Toe-Flats-10-66cf121eef1ef7841760d1b6
