Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Jones New York,"
            Jones New York Sport cotton green black white top geometric pattern short sleeve
          ","
              C$20
            ","
              US M
            ","
          Perfect for summer, this Jones New York Sport top is made from cotton with enough elastine to provide perfect yet comfortable fit. 

It features a small green, black and white geometrical pattern, round neck, and short sleeve.
It looks good alone as well as under a sweater or a light jacket.

Size M
Pit to Pit 19"", length 24""

95% cotton, 5% elastine, has a good stretch

Never worn. In perfect new condition. Will be shipped the next business day. Smoke and pet free home. 

    - Cotton top
    - Green, black, and white 
    - Geometrical pattern
    - Flattering fit
    - Short sleeves
    - Great for summer 
    - Looks good alone, under a sweater or a light jacket
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Green, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/03/08/65ebab57ffb5d02b7f32cdd6/s_6631944087aeb69f5c210ec8.jpg,290,50+,1 day,14,https://poshmark.ca/listing/Jones-New-York-Sport-cotton-green-black-white-top-geometric-pattern-short-sleeve-65ebab57ffb5d02b7f32cdd6
Nike,"
            Nike World Tour T (L)
          ","
              C$40
            ","
              US L
            ","
          NOTE:
A majority of items are second hand, please refer to photos for additional details (ie. stains, rips, holes, etc)

size:
L
refer to photos for measurements

condition:
used
glow in the dark back print 

follow us at @612archived on IG for more!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/14/66bd1eb4f884710b1b2cac3a/s_66bd1ec81df6365f25d062f4.jpg,797,300+,1 day,30,https://poshmark.ca/listing/Nike-World-Tour-T-L-66bd1eb4f884710b1b2cac3a
Vintage,"
            90s Vintage Brown Green Tartan Short Sleeve Shirt XXL #323
          ","
              C$15
            ","
              US XXL
            ","
          - title: 90s Vintage Brown Green Tartan Short Sleeve Shirt XXL #323
  description: |
    **90s Vintage Short Sleeve Shirt in Brown Green Tartan Pattern**

    - 65% Polyester, 35% Cotton  
    - Great condition, 8.5/10  
    - No flaws  
    - Size XXL Baggy Fit, tag says L  
    - 27 x 33 inches  

    **Each item is sold as-is. Please review the pictures and inspect thoroughly before making your purchase. We offer affordable shipping rates worldwide. Please note: we have a pet cat at home, so if you have allergies, kindly refrain from purchasing this item.**

    #VintageFashion #TartanPattern #90sStyle #PreOwnedClothing #AffordableFashion #ThriftStoreFinds #MensFashion #WomensFashion #BaggyFit #RetroClothing

Crossposted in multiple online marketplaces.
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Brown",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/27/66a56409d909598c52709f0e/s_66a56af71ce666a460f455ed.jpeg,1827,1500+,1 day,100,https://poshmark.ca/listing/90s-Vintage-Brown-Green-Tartan-Short-Sleeve-Shirt-XXL-323-66a56409d909598c52709f0e
Led Zeppelin,"
            Led Zeppelin T Shirt, United States Of American, 1977, Graphic, Size L, NWT
          ","
              C$39
            ","
              US L
            ","
          Led Zeppelin T Shirt
*United States Of American, 1977, Graphic
*Size Large
*Colour is a heather darkish blue
*New With Tags
*50% Cotton, 50% Polyester
*This is a soft, lightweight shirt

Approx Measurements: (Laying Flat)
*Pit to pit - 20""
*Length - 28""
*Sleeve Length - 8""

***No pets, non smoking home***

**Colour may vary slightly from photos due to lighting

****New to Poshmark? Use code FERAS_FAB_FINDS to sign up
and get a $15 credit off your first purchase in any closet.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/26/66cd32bb3eddebf624641bed/s_66cd32bdc479b878175b1826.jpeg,811,300+,1 day,70,https://poshmark.ca/listing/Led-Zeppelin-T-Shirt-United-States-Of-American-1977-Graphic-Size-L-NWT-66cd32bb3eddebf624641bed
Nike,"
            Nike Dri Fit Black Short Sleeve Training Zip Up (women's XL)
          ","
              C$40
            ","
              US XL
            ","
          NOTE:
A majority of items are second hand, please refer to photos for additional details (ie. stains, rips, holes, etc)

size:
women's XL 
refer to photos for measurements

condition:
used

follow us at @612archived on IG for more!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, Black",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/14/66bd1e76280cc690d014869c/s_66bd1e83dc8a4e81a9b12f10.jpg,797,300+,1 day,30,https://poshmark.ca/listing/Nike-Dri-Fit-Black-Short-Sleeve-Training-Zip-Up-womens-XL-66bd1e76280cc690d014869c
lululemon athletica,"
            LULULEMON TENNIS SKORT
          ","
              C$45
            ","
              US 12
            ","
          In excellent condition!
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/08/66dde71a8a00e3e1067ca9ad/s_66dde72d0a60d5287911525c.jpg,229,95+,1 day,3,https://poshmark.ca/listing/LULULEMON-TENNIS-SKORT-66dde71a8a00e3e1067ca9ad
Joe Fresh,"
            Joe Fresh men's med BNWT yellow with black stripes T shirt
          ","
              C$24
            ","
              US M
            ","
          Joe Fresh brand

Men's size medium.
Yellow with horizontal black stripe pattern.
Crew neck style.
Short sleeve T-shirt.
Soft, comfy feel.

Brand new with tags, no flaws that I can see.

Please see pics for approx dimensions.
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Yellow, Black, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/01/24/65b1c112a0e6c662409bd4fc/s_65b1c174c5df6cb7f739de18.jpg,382,100+,2 days,13,https://poshmark.ca/listing/Joe-Fresh-mens-med-BNWT-yellow-with-black-stripes-T-shirt-65b1c112a0e6c662409bd4fc
lululemon athletica,"
            Lululemon shorts size 6
          ","
              C$34
            ","
              US 6
            ","
          Lululemon shorts size 6 inseam 3”
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/09/66df94ed0c0a3f4c5c0d8dac/s_66e09e1a280cc6dbac2a943d.png,1940,500+,2 days,45,https://poshmark.ca/listing/Lululemon-shorts-size-6-66df94ed0c0a3f4c5c0d8dac
Quiksilver,"
            quiksilver t-shirt Men’s Light Blue XXL Activewear Big Logo Mountain Wave
          ","
              C$15
            ","
              US XXL
            ","
          Stay comfortable and stylish in this Quiksilver Men's Light Blue XXL T-Shirt. Featuring a big logo of the iconic mountain wave, this regular fit tee is perfect for casual wear or as activewear. Made for men, this blue shirt is a must-have addition to any wardrobe for those who love the Quiksilver brand.

Regular Fit

EUC shown in pictures, no holes

Armpit to armpit 24.5”

Top from right of collar to bottom 30”
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/11/66e1b197db3a6fd4d4727cb8/s_66e1b200e825d174b1fa8155.jpeg,84,15+,1 day,--,https://poshmark.ca/listing/quiksilver-tshirt-Mens-Light-Blue-XXL-Activewear-Big-Logo-Mountain-Wave-66e1b197db3a6fd4d4727cb8
dkny golf,"
            DKNY Golf Black/White/Blue Short Sleeve Shirt Sz L
          ","
              C$35
            ","
              US L
            ","
          This super cute golf shirt by DKNY Golf is sure to be a staple in your golf closet. A flirty zipper neckline. A mock collar. Short sleeves. Lightweight. Size large. Excellent condition.

Chest 21”
Length 26”
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/15/66e7784625b2f26a565d9bcf/s_66e77847c383720f77630170.jpeg,1478,1200+,1 day,100+,https://poshmark.ca/listing/DKNY-Golf-BlackWhiteBlue-Short-Sleeve-Shirt-Sz-L-66e7784625b2f26a565d9bcf
