Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Arc'teryx,"
            Arc’teryx Women’s Large Button down Shirt Pink Plaid Long Sleeve lightweight
          ","
              C$45
            ","
              US L
            ","
          Arcteryx Women’s Large Button Front Shirt Pink Plaid Long Sleeve lightweight 

Gently used condition

Arc'teryx Jacaranda Melodie Plaid Button Down Long Sleeve Shirt  
Pull tab sleeve **can be rolled up** 
Colour: White, Pink 
Size: L  
Fabric: 72% Cotton, 28% Polyester.
        ","Seller Discount: 20% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, White, Pink, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/24/66ca997c450b424173c63ccd/s_66ca997d20684778982e5bac.jpeg,2906,2200+,1 day,100+,https://poshmark.ca/listing/Arcteryx-Womens-Large-Button-down-Shirt-Pink-Plaid-Long-Sleeve-lightweight-66ca997c450b424173c63ccd
Disney,"
            2 Hoodie, Disney and Gap sz 5
          ","
              C$32
            ","
              US 5 (Girl)
            ","
          Disney and Gap Hoodies
Size 5

Disney Hoodie- Zip-up, Split kangaroo pockets

Gap Hoodie- Pullover, * no material tag

Both in GUC
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Pink, Gray",https://di2ponv0v5otw.cloudfront.net/posts/2023/06/23/64964db469ef1a291714b890/s_649650d4c9a228925566aaa0.jpeg,1530,800+,1 day,100+,https://poshmark.ca/listing/2-Hoodie-Disney-and-Gap-sz-5-64964db469ef1a291714b890
Anne Klein,"
            Anne Klein Top Black White print Size Small Keyhole Office Casual Abstract
          ","
              C$12
            ","
              US S
            ","
          Featuring a flattering keyhole neckline with a silver-tone metallic bar
Solid black down centre front and across shoulders on the back.

Excellent pre-owned condition, like new.

95% Polyester / 5 % Elastane 
Machine wash cold / tumble dry low 

Approximate Measurements (flat lay): 
Chest: 18”
Length: 24”
3/4 length sleeves 

Thank you for shopping my closet! 🛍 Bundle with other items to get the best deal! 

New to Poshmark? Sign up with code VICTORIA2YOU and save $15.00 off your first purchase!
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Black, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/08/668c5a7edc8a4e8cb56fceaa/s_668c5a7edc8a4e8cb56fceab.jpg,1427,1000+,1 day,100+,https://poshmark.ca/listing/Anne-Klein-Top-Black-White-print-Size-Small-Keyhole-Office-Casual-Abstract-668c5a7edc8a4e8cb56fceaa
Pointelle,"
            Sz L Pointelle black high collared dressy tank EUC
          ","
              C$19
            ","
              US L
            ","
          SzL 3 button back closure high collared dressy tank. Viscose and spandex mix  24” length from shoulder   EUC
        ","Seller Discount: 5% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/04/66d82703b9bd740aa8950dc1/s_66d8270682dceb1cbb0983bf.jpeg,1151,700+,1 day,90,https://poshmark.ca/listing/Sz-L-Pointelle-black-high-collared-dressy-tank-EUC-66d82703b9bd740aa8950dc1
Steve & Barry's,"
            Steve & Barry's Men's Blue & White Striped Long Sleeve Button Up Cotton Shirt M
          ","
              C$33
            ","
              US M
            ","
          Steve & Barry's Women's Navy & White Striped Long Sleeve Button Up Cotton Shirt 15-15 1/2 Neck Medium 
#2425

•Brand: Steve & Barry's 
•Size: Medium 15-15 1/2
•Color: White & Navy Blue 
•Length: 31.5 inches
•Width: 22.5 inches

In excellent pre-loved condition
(Please note that true color may be lighter or darker, all screens are different)

❤Bundle and Save 15% on 2 or more
❤FREE Shipping on 100$ or more
🚫Smoke-Free Household
🔝Rated Seller
🌟Poshmark Ambassador
0424
        ","Seller Discount: 30% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Blue, White, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/04/07/661384a532b786fb0bc05f20/s_6613aad124237a97b068aa1d.jpeg,6500,3700+,2 days,100+,https://poshmark.ca/listing/Steve-Barrys-Mens-Blue-White-Striped-Long-Sleeve-Button-Up-Cotton-Shirt-M-661384a532b786fb0bc05f20
Old Navy,"
            Old Navy pebble print sleeveless top
          ","
              C$18
            ","
              US L
            ","
          Old Navy pebble print sleeveless top.
Navy/white with sweetheart neckline
Size L
Armpit to armpit flat 21""
Length 23""
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Blue, White",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/29/66a7a44b0841b9ea5b9ad462/s_66a7a44e9d05c4a4c82a2995.jpg,1171,200+,1 day,40,https://poshmark.ca/listing/Old-Navy-pebble-print-sleeveless-top-66a7a44b0841b9ea5b9ad462
lululemon athletica,"
            EUC Lululemon Deep Stretch Long Sleeve *Cinch
          ","
              C$24
            ","
              US 4
            ","
          Excellent Used Condition 
Size 4, Black 
Rip tag removed, confirmed size 4 - see last pic for screen shot of my online purchase confirmation 

💕New to Poshmark? Use code HELLAPOSH13 to get a $15 Credit off of your first purchase💕

Head to your training session in this soft long sleeve. Open-back detailing allows for ventilation while the snug-fit hip gathering allows you to choose if it sits at the hip or just above it.
micromodal®
We love MicroModal® fabric for its lightweight, naturally breathable construction and super-soft handfeel
super-soft handfeel
lightweight
naturally breathable
features
Designed for: Office Travel Commute
Lycra®: Added Lycra® fibre for shape retention
Back opening : Keyhole in the back helps keep you cool
Relaxed fit, hip length: Layers easily and gives you room to breathe
        ","Seller Discount: 5% off 2+ Bundle, Price Dropped: 11%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/21/669dacf9c4c83743cf6bff8a/s_669dacf9e825d1ba8470607d.jpg,329,300+,1 day,37,https://poshmark.ca/listing/EUC-Lululemon-Deep-Stretch-Long-Sleeve-Cinch-669dacf9c4c83743cf6bff8a
simply great by weekenders,"
            Top & bottom set maroon (2pc total)
          ","
              C$100
            ","
              US 1X
            ","
          good condition see pictures
cutout sleeve &
wide leg plazzo style bottoms
color most accurate in video
        ",N/A,"N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2023/11/19/655abca258083d3a3c378736/s_655abcc224237a5e533ff864.jpg,1726,90+,2 days,10,https://poshmark.ca/listing/Top-bottom-set-maroon-2pc-total-655abca258083d3a3c378736
lululemon athletica,"
            Lululemon Asymmetrical Racerback Tank
          ","
              C$65
            ","
              US 4
            ","
          Lululemon Asymmetrical Racerback Tank
Size 4. Rip tag attached. Excellent Like New Condition.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Pink, Purple",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/06/66dbefa6b9db3a573d2d45ee/s_66dbefc42068479aaab8cf72.jpg,1711,700+,1 day,60,https://poshmark.ca/listing/Lululemon-Asymmetrical-Racerback-Tank-66dbefa6b9db3a573d2d45ee
Cynthia Rowley,"
            Cynthia Rowley linen tunic top 2X
          ","
              C$38
            ","
              US 2X
            ","
          Cynthia Rowley linen tunic. Collar neckline with partial button front. Fabric loops and contrast buttons make this unique. Small pleat at centre front and gathered back bodice to yoke. Full length sleeves with button cuff. Roll tab and button for a tidy rolled sleeve. Pretty light blue in a slightly slub  linen. 

Approx meas flat across: underarm to underarm- 28”, waist- 29.5”. Hip 29.5”. Length- 32”

Pre-owned and in good condition.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/03/08/65ebb6b24bc6557b739437dd/s_65ebb6dd32c1dc4b7aecdeb8.jpg,3378,2900+,1 day,100+,https://poshmark.ca/listing/Cynthia-Rowley-linen-tunic-top-2X-65ebb6b24bc6557b739437dd
